as.nat,fa.nat,la.nat,po.nat,as.inv,fa.inv,la.inv,po.inv,function
0,0,0,0,1,0,1,1,3.1135
0,0,0,0,1,0,1,1,3.2369
0,0,0,0,1,0,1,1,3.3312
0,0,0,0,1,0,1,1,3.6905
0,0,0,0,1,0,1,1,4.2518
0,0,0,0,1,0,1,1,4.2584
0,0,0,0,0,1,1,1,6.0871
0,0,0,0,0,1,1,1,6.7536
0,0,0,0,0,1,1,1,6.793
0,0,0,0,0,1,1,1,6.7936
0,0,0,0,0,1,1,1,6.9697
0,0,0,0,0,1,1,1,7.1174
0,0,0,0,0,1,1,1,7.2507
0,0,0,0,0,1,1,1,7.9724
0,0,0,0,0,1,1,1,9.0616
0,0,0,0,0,1,1,1,9.9921
0,0,0,0,1,1,1,1,4.2898
0,0,0,0,1,1,1,1,4.9927
0,0,0,0,1,1,1,1,6.0307
0,0,0,0,1,1,1,1,6.2069
0,0,0,0,1,1,1,1,6.2912
0,0,0,0,1,1,1,1,6.5132
0,0,0,0,1,1,1,1,6.6074
0,0,0,0,1,1,1,1,6.6269
0,0,0,0,1,1,1,1,7.6426
0,0,0,0,1,1,1,1,8.0563
0,0,0,0,0,0,0,0,0
